Beach,Mentor ,Type,Season,Date,Month,Meso Fragmented Plastic,Macro Fragmented Plastic,Total Fragmented Plastic,Meso Plastic Products,Macro Plastic Products,Total Plastic Products,Meso Food Wrappers,Macro Food Wrappers,Total Food Wrappers,Meso Styrofoam,Macro Styrofoam,Total Styrofoam,Meso Cigarette Butts,Macro Cigarette Butts,Total Cigarette Butts,Meso Paper/ Treated Wood,Macro Paper/ Treated Wood,Total Paper/ Treated Wood,Meso Metal,Macro Metal,Total Metal,Meso Glass,Macro Glass,Total Glass,Meso Fabric,Macro Fabric,Total Fabric,Meso Fetilizer Pellets,Macro Fetilizer Pellets,Total Fetilizer Pellets,Meso Fishing Gear,Macro Fishing Gear,Total Fishing Gear,Meso Rubber,Macro Rubber,Total Rubber,Meso Other,Macro Other,Total Other,Total Meso Debris,Total Macro Debris,TOTAL DEBRIS,Accumlation (Items/m²),Abundance (Items/m²),Notes ,Data Notes,KEY:,
Seaside,Amber,U,Fall,10/6/2019,October,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0.166666667,,,,
Sunset,Quinn,R,Fall,10/6/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Waddell,Xena,R,Fall,10/6/2019,October,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Zmudowski North,Andrew,R,Fall,10/6/2019,October,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1.25,0.208333333,,,,
Zmudowski South,Christina,R,Fall,10/6/2019,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Live Oak,Amber & Gabby,U,Fall,10/11/2019,October,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Del Monte,Amber & Gabby,U,Fall,10/28/2019,October,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,1.5,0.25,,,,
Main Beach,"Alma
",U,Fall,11/2/2019,November,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0.75,0.125,,,,
Natural Bridges,Xena,U,Fall,11/2/2019,November,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Waddell,Amber&Gabby//Julissa,R,Fall,11/2/2019,November,1,0,1,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,4,1,0.166666667,,Combined between 2 surveys,,
Marina,Quinn//Xena,U,Fall,11/3/2019,November,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1.5,0.375,0.0625,,Combined between 2 surveys,,
Seaside,Christina,U,Fall,11/3/2019,November,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.083333333,Went south instead of north,,,
Sunset,Julissa,R,Fall,11/3/2019,November,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.75,0.125,,,,
Zmudowski North,Roxanne,R,Fall,11/3/2019,November,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Zmudowski South,Gabby//Gabby,R,Fall,11/3/2019,November,0,0,0,0,0,0,0,0,0,2.5,5.5,8,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5,8.5,2.125,0.354166667,,Combined between 2 surveys,,
Capitola,Amber,U,Fall,11/9/2019,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Del Monte,Andrew//Gabby,U,Fall,10-Nov,November,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0,2,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,4,4.5,1.125,0.1875,,Combined between 2 surveys,,
Live Oak,Amber & Gabby,U,Fall,11/11/2019,November,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Seabright,Amber & Gabby,U,Fall,11/22/2019,November,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Capitola,Christina,U,Fall,12/1/2019,December,0,0,0,0,1,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Natural Bridges,Quinn,U,Fall,12/1/2019,December,0,0,0,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0.333333333,,,,
Zmudowski North,Alma,R,Fall,12/7/2019,December,10,1,11,0,2,2,0,1,1,13,1,14,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,31,7.75,1.291666667,,,,
Main Beach,Andrew,U,Fall,12/8/2019,December,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Seaside,Roxy,U,Fall,12/14/2019,December,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,2,0.333333333,,,,
Live Oak,Amber,U,Fall,12/22/2019,December,16,0,16,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,27,0,27,6.75,1.125,,,,
Sunset,Amber & Gabby,R,Fall,12/30/2019,December,14,8,22,0,3,3,0,0,0,5,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,13,33,8.25,1.375,,,,
Seabright,Amber & Gabby,U,Winter,1/7/2020,January,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,Survey completed late - so only 2 fall surveys for 2019 & 4 winter for 2020.,,,
Capitola,Gabby,U,Winter,1/17/2020,January,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Zmudowski South,Training,R,Winter,1/18/2020,January,18,2,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19,4,23,5.75,0.958333333,,,,
Del Monte,Christina,U,Winter,1/19/2020,January,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0.5,,,,
Main Beach,Quinn,U,Winter,1/19/2020,January,1,0,1,1,2,3,0,0,0,0,0,0,15,0,15,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,5.75,0.958333333,,,,
Marina,Faith & Julissa,U,Winter,1/19/2020,January,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Natural Bridges,Andrew,U,Winter,1/19/2020,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Seaside,Gabby & Jasmine,U,Winter,1/19/2020,January,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Sunset,Archi,R,Winter,1/19/2020,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Amber,R,Winter,1/19/2020,January,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1.25,0.208333333,,,,
Live Oak,Amber & Bianca,U,Winter,1/24/2020,January,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.75,0.125,,,,
Seabright,Amber//Amber,U,Winter,2/1/2020,February ,0.5,0.5,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1.5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,4,1,0.166666667,,Combined between 2 surveys,,
Live Oak,Amber & Gabby,U,Winter,2/13/2020,February,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Main Beach,Xena,U,Winter,2/15/2020,February,1,0,1,0,0,0,0,0,0,0,6,6,2,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,3.25,0.541666667,,,,
Natural Bridges,Christina,U,Winter,2/15/2020,February,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Del Monte,Archi,U,Winter,2/16/2020,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did wrong area - between Del Monte & Seasdie..,,,
Marina,Andrew,U,Winter,2/16/2020,February,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.75,0.125,,,,
Seaside,Quinn,U,Winter,2/16/2020,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Jasmine,R,Winter,2/16/2020,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski South,Julissa,R,Winter,2/16/2020,February,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Waddell,"Amber, Gavin, & Binaca",R,Winter,2/21/2020,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Capitola,Amber & Gavin,U,Winter,2/23/2020,February,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,7,1.75,0.291666667,,,,
Live Oak,"Amber, Gavin, Megan",U,Winter,3/9/2020,March,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1.5,0.25,,,,
Main Beach,"Amber, Gavin, Megan",U,Winter,3/12/2020,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Natural Bridges,"Amber, Gavin, Megan",U,Winter,3/12/2020,March,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1.25,0.208333333,,,,
Waddell,"Amber, Gavin, Megan",R,Winter,3/12/2020,March,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.75,0.125,,,,
Seabright,"Amber, Gavin",U,Winter,3/13/2020,March,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19,4.75,0.791666667,,,,
Sunset,"Gavin, Jasmine",R,Winter,3/14/2020,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Natural Bridges,Amber & Gavin,U,Spring,4/21/2020,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Waddell,Amber & Gavin,R,Spring,4/21/2020,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Capitola,Amber & Gavin,U,Spring,4/22/2020,April,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1.5,0.25,,,,
Sunset,Amber & Gavin,R,Spring,4/22/2020,April,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Del Monte,Amber & Gavin,U,Spring,4/23/2020,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Main Beach,Amber & Gavin,U,Spring,4/24/2020,April,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.083333333,,,,
Seabright,Amber & Gavin,U,Spring,4/24/2020,April,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Live Oak,Amber & Gavin,U,Spring,4/25/2020,April,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Zmudowski North,Amber & Gavin,R,Spring,4/27/2020,April,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Zmudowski South,Amber & Gavin,R,Spring,4/27/2020,April,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1.25,0.208333333,,,,
Marina,Amber & Gavin,U,Spring,4/28/2020,April,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,1.5,0.25,other: gum,,,
Seaside,Amber & Gavin,U,Spring,4/28/2020,April,1,3,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,4,8,2,0.333333333,,,,
Capitola,Amber & Gavin,U,Spring,5/11/2020,May,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0.166666667,,,,
Natural Bridges,Amber & Gavin,U,Spring,5/14/2020,May,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0.166666667,,,,
Del Monte,Amber & Gavin,U,Spring,5/15/2020,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Seabright,Amber & Gavin,U,Spring,5/15/2020,May,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Waddell,Amber & Gavin,R,Spring,5/15/2020,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Live Oak,Amber & Gavin,U,Spring,5/19/2020,May,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Seaside,Amber & Gavin,U,Spring,5/20/2020,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Amber & Gavin,R,Spring,5/21/2020,May,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Zmudowski South,Amber & Gavin,R,Spring,5/21/2020,May,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Marina,Amber & Gavin,U,Spring,5/23/2020,May,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,,,,
Main Beach,Amber & Gavin,U,Spring,5/26/2020,May,0,2,2,0,0,0,0,1,1,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1.75,0.291666667,,,,
Sunset,Amber & Gavin,R,Spring,5/26/2020,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Natural Bridges,Amber & Gavin,U,Spring,6/11/2020,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.75,0.125,,,,
Waddell,Amber & Gavin,R,Spring,6/11/2020,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Live Oak,"Amber, Gavin, Jasmine",U,Spring,6/12/2020,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Seabright,"Amber, Gavin, Jasmine",U,Spring,6/12/2020,June,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.041666667,,,,
Seaside,Amber & Gavin,U,Spring,6/12/2020,June,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,5,1.25,0.208333333,,,,
Zmudowski North,Amber & Gavin,R,Spring,6/16/2020,June,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Zmudowski South,Amber & Gavin,R,Spring,6/16/2020,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sunset,Amber & Gavin,R,Spring,6/17/2020,June,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0.5,0.083333333,,,,
Main Beach,Amber & Gavin,U,Spring,6/23/2020,June,0,0,0,0,1,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,4,3,7,1.75,0.291666667,,,,
Del Monte,Amber & Gavin,U,Spring,6/24/2020,June,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,1,5,6,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,9,9,18,4.5,0.75,other item was brick,,,
Capitola,Amber & Gavin,U,Spring,6/25/2020,June,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.083333333,sand combed over with large machinery recently ,,,
Marina,Amber & Gavin,U,Spring,6/25/2020,June,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,0.166666667,other item was brick,,,
Natural Bridges,Amber & Gavin,U,Summer,7/9/2020,July,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0.166666667,,,,
Waddell,Amber & Gavin,R,Summer,7/9/2020,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Zmudowski North,Amber & Gavin,R,Summer,7/13/2020,July,1,3,4,0,1,1,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,3,0.5,,,,
Zmudowski South,Amber & Gavin,R,Summer,7/13/2020,July,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,2.25,0.375,,,,
Live Oak,Amber & Gavin,U,Summer,7/15/2020,July,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0.166666667,,,,
Sunset,Amber & Gavin,R,Summer,7/15/2020,July,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Del Monte,Amber & Gavin,U,Summer,7/17/2020,July,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.75,0.125,,,,
Main Beach,Amber & Gavin,U,Summer,7/21/2020,July,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1.25,0.208333333,,,,
Capitola,Amber & Gavin,U,Summer,7/22/2020,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Seabright,Amber & Gavin,U,Summer,7/22/2020,July,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1.75,0.291666667,,,,
Marina,Amber & Gavin,U,Summer,7/23/2020,July,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,1.5,0.25,,,,
Seaside,Amber & Gavin,U,Summer,7/23/2020,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5,0.083333333,,,,
Capitola,Amber & Gavin,U,Summer,8/12/2020,August,1,2,3,0,3,3,0,0,0,7,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,3.5,0.583333333,,,,
Natural Bridges,Amber & Gavin,U,Summer,8/12/2020,August,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0.041666667,,,,
Live Oak,Amber & Gavin,U,Summer,8/13/2020,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.75,0.125,,,,
Seabright,Amber & Gavin,U,Summer,8/13/2020,August,2,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1.5,0.25,,,,
